Date,Custom Multi-Asset Index,SPY
2024-01-31,253.35082813568047,473.2018433713561
2024-02-01,256.8646335861609,479.3951632220416
2024-02-02,255.89394645290855,484.4419599430132
2024-02-05,253.32314894988946,482.6779810410105
2024-02-06,255.14450469654383,484.07941032080515
2024-02-07,255.70933704753335,488.1167491116893
2024-02-08,256.363678646435,488.33240575304353
2024-02-09,256.65816340081085,491.154642602263
2024-02-12,256.4174315067681,490.93904757709197
2024-02-13,252.2995576157546,484.1773492440716
2024-02-14,253.6750129599985,488.5773916976218
2024-02-15,256.7960594645125,491.9484130829046
2024-02-16,255.79970090850188,489.49858444521226
2024-02-20,255.69573313821675,486.803646630575
2024-02-21,256.25317381080174,487.2446644621443
2024-02-22,258.2187353273271,497.32839931476855
2024-02-23,258.7239377550911,497.67135499070497
2024-02-26,257.2703603390525,495.84862505797906
2024-02-27,257.4407831429979,496.76975618938616
2024-02-28,258.3511196737594,496.11323575692063
2024-02-29,259.83517285455764,497.89671618092007
2024-03-01,263.31885038549007,502.5711663065478
2024-03-04,265.46569590032317,502.03214793552877
2024-03-05,264.0406158996418,497.0147729420562
2024-03-06,265.6480954449806,499.5332728159741
2024-03-07,267.00995725526764,504.4918659706319
2024-03-08,268.2542778882068,501.4638310693772
2024-03-11,267.91335198985075,501.03257940285204
2024-03-12,267.7026840080464,506.4224242240349
2024-03-13,267.73740555276186,505.6285613191183
2024-03-14,265.8499008261996,504.62908521071637
2024-03-15,264.7611212223966,501.16400672171153
2024-03-18,265.4684776544543,504.1424714035464
2024-03-19,265.82732618552984,506.94406683137913
2024-03-20,268.2848180899008,511.6329351438859
2024-03-21,269.1339631995416,513.3237140201945
2024-03-22,267.11519012544994,512.3505480220377
2024-03-25,266.60613497153133,510.93500863628026
2024-03-26,266.3699073146701,509.99132598180574
2024-03-27,270.0500759584171,514.2772860720796
2024-03-28,271.8335492052821,514.1789158355305
2024-04-01,271.08158063046494,513.2843104710099
2024-04-02,270.70484599752416,510.02099417403775
2024-04-03,271.69225312575776,510.58114689590957
2024-04-04,269.4856242921753,504.34897804168867
2024-04-05,272.4239190851245,509.6178086789802
2024-04-08,274.01394070047303,509.9028451426673
2024-04-09,275.83823818894297,510.49266605677116
2024-04-10,270.2399374311017,505.38104911102675
2024-04-11,272.9763727977083,509.19515247001766
2024-04-12,269.43733415074627,502.1666252554588
2024-04-15,268.4655258035253,495.8754897138734
2024-04-16,267.152676525397,494.97105656812533
2024-04-17,265.31728975196404,492.0417307924277
2024-04-18,265.4486101697496,491.02925366936125
2024-04-19,265.381059719558,486.7433860033622
2024-04-22,264.7943238972572,491.2258401020014
2024-04-23,266.4331635334874,497.0550083097145
2024-04-24,266.39147197459175,496.81914156025624
2024-04-25,266.07675658439814,494.9317454432157
2024-04-26,267.2488394569958,499.62064456381404
2024-04-29,268.29465325858257,501.39004568994227
2024-04-30,263.5819404389042,493.4473807807745
2024-05-01,264.1259978308555,491.84517516787906
2024-05-02,265.9158232177046,496.445593449339
2024-05-03,267.5365447649478,502.59920166992373
2024-05-06,269.4722601293976,507.78941005739586
2024-05-07,270.00815086189505,508.34974762781735
2024-05-08,268.9960838415016,508.3988557258629
2024-05-09,272.7659729753341,511.3282123096522
2024-05-10,273.3691221462881,511.98688930853126
2024-05-13,272.65738945660434,512.0556221609401
2024-05-14,274.5429232449872,514.404985611853
2024-05-15,278.11789200573213,520.7749898679908
2024-05-16,277.5007230261016,519.7034228251932
2024-05-17,279.1488567774691,520.4505190470276
2024-05-20,279.0824163278892,521.0501061261756
2024-05-21,279.1407823872863,522.3280257666574
2024-05-22,276.32500092915416,520.8240979660362
2024-05-23,271.83193759587255,517.0197915801812
2024-05-24,272.5819219092099,520.4406604577084
2024-05-28,273.0012904375303,520.8043807873981
2024-05-29,270.6333830234839,517.1575037497317
2024-05-30,271.52790242036525,513.7267454747939
2024-05-31,273.5162670462246,518.4058476222565
2024-06-03,274.1955571319109,518.8285346393106
2024-06-04,274.1815788865045,519.408527772187
2024-06-05,276.24120058831437,525.5817915552266
2024-06-06,277.0963339193781,525.5719329659075
2024-06-07,272.81686679687624,524.9329731456666
2024-06-10,274.2385173064906,526.5548343210169
2024-06-11,274.39035772509754,527.8230186045462
2024-06-12,276.20106004983256,532.1580867928656
2024-06-13,276.0101392210175,533.2295306032967
2024-06-14,277.23654268854887,533.5540014242599
2024-06-17,277.1291930105177,537.8004039248912
2024-06-18,278.0984446394933,539.1669276368781
2024-06-20,278.73905552012224,537.7021877288001
2024-06-21,277.40790843765024,536.9813400010279
2024-06-24,278.1890657258649,535.2358151459068
2024-06-25,276.94633090090633,537.2968148592375
2024-06-26,275.9225053405311,537.9675686300324
2024-06-27,278.0043217281643,538.8156537762037
2024-06-28,278.3876427896516,536.695317678409
2024-07-01,277.9450622230331,537.7997877630588
2024-07-02,278.9997593491257,541.419060750632
2024-07-03,280.37392479711525,543.8352777603648
2024-07-05,282.43143513699465,546.9713566389379
2024-07-08,281.676865042163,547.6024912039068
2024-07-09,281.9049533613852,548.1348550271355
2024-07-10,283.87430966907255,553.5588660219273
2024-07-11,287.4502449433827,548.7857067707425
2024-07-12,288.7230965550049,552.2472423292108
2024-07-15,289.9475685501005,553.7658963976273
